type,name,start,end
int,puhrck6,267,268
int,puhrck7,269,270
int,puhrck12,271,272
int,pulaydt,273,274
int,pulay6m,275,276
int,pelayavl,277,278
int,pulayavr,279,280
int,pelaylk,281,282
int,pelaydur,283,285
int,pelayfto,286,287
int,pulayck1,288,289
int,pulayck2,290,291
int,pulayck3,292,293
int,pulk,294,295
int,pelkm1,296,297
int,pulkm2,298,299
int,pulkm3,300,301
int,pulkm4,302,303
int,pulkm5,304,305
int,pulkm6,306,307
int,pulkdk1,308,309
int,pulkdk2,310,311
int,pulkdk3,312,313
int,pulkdk4,314,315
int,pulkdk5,316,317
int,pulkdk6,318,319
int,pulkps1,320,321
int,pulkps2,322,323
int,pulkps3,324,325
int,pulkps4,326,327
int,pulkps5,328,329
int,pulkps6,330,331
int,pelkavl,332,333
int,pulkavr,334,335
int,pelkll1o,336,337
int,pelkll2o,338,339
int,pelklwo,340,341
int,pelkdur,342,344
int,pelkfto,345,346
int,pedwwnto,347,348
int,pedwrsn,349,350
int,pedwlko,351,352
int,pedwwk,353,354
int,pedw4wk,355,356
int,pedwlkwk,357,358
int,pedwavl,359,360
int,pedwavr,361,362
int,pudwck1,363,364
int,pudwck2,365,366
int,pudwck3,367,368
int,pudwck4,369,370
int,pudwck5,371,372
int,pejhwko,373,374
int,pujhdp1o,375,376
int,pejhrsn,377,378
int,pejhwant,379,380
int,pujhck1,381,382
int,pujhck2,383,384
int,prabsrea,385,386
int,prcivlf,387,388
int,prdisc,389,390
int,premphrs,391,392
int,prempnot,393,394
int,prexplf,395,396
int,prftlf,397,398
int,prhrusl,399,400
int,prjobsea,401,402
int,prpthrs,403,404
int,prptrea,405,406
int,prunedur,407,409
int,prusftpt,410,411
int,pruntype,412,413
int,prwksch,414,415
int,prwkstat,416,417
int,prwntjob,418,419
int,pujhck3,420,421
int,pujhck4,422,423
int,pujhck5,424,425
int,puiodp1,426,427
int,puiodp2,428,429
int,puiodp3,430,431
int,peio1cow,432,433
